timestamp,message
1751884654090,!AIVDM,1,1,,B,17WK5q@01a2P;NvBkb?cuqU805qh,0*58
1751884656778,!AIVDM,1,1,,B,17WK5q@01a2P;=LBkc1751642935856,WsvISh0D3f,0*38
1751884658018,!AIVDM,1,1,,B,16H=bv0P002P@42Biuv@wOwv08QI,0*46
1751884659058,!AIVDM,1,1,,A,34d6v65000RPFw6BieBu1Jal0Dkb,0*41
1751884659579,!AIVDM,1,1,,B,3567a:1000RP=f@Bl4Vaaacf0ljr,0*0D
1751884667251,!AIVDM,1,1,,A,16H=bv0P002P@4FBiv0hsOwv00Si,0*72
1751884674301,!AIVDM,1,1,,B,36H;NF5Oh:RP?D<Biu6USGJH21uP,0*3B
1751884674507,!AIVDM,1,1,,A,39NSdW10012P;AjBlkic5q`J0ln:,0*59
1751884675232,!AIVDM,1,1,,B,17WK5q@01a2P:uRBkdlst9PN0D3g,0*05
1751884676167,!AIVDM,1,1,,B,1:0Dqg0000RPFs>Bj4acRHBJ088p,0*09
1751884677727,!AIVDM,1,1,,B,16H=bv0P002P@42Biv0PmOwv05ql,0*01
1751884680314,!AIVDM,1,1,,B,36H;NF5Oh=RP?DPBiu3UtoRT238Q,0*10
1751884685090,!AIVDM,1,1,,A,17WK5q@01a2P:lTBkeO;rqNh00S8,0*4E
1751884685708,!AIVDM,1,1,,A,1:0Dqg0000RPFsBBj4bM7pBf08>P,0*0C
1751884686016,!AIVDM,1,1,,A,59NSc0P2>rtODhDOL01`Tn0pEN1`D4h4p@00001?@p>>95j9NABC21P@000000000000000,2*09
1751884687159,!AIVDM,1,1,,B,59NSc0P2>rtODhDOL01`Tn0pEN1`D4h4p@00001?@p>>95j9NABC21P@000000000000000,2*0A
1751884687262,!AIVDM,1,1,,A,16H=bv0P002P@3lBiv0P@gwv0<1W,0*2C
1751884695360,!AIVDM,1,1,,B,1:0Dqg0000RPFsFBj4b@b8C20HD9,0*2D
1751884698447,!AIVDM,1,1,,B,16H=bv0P002P@4@Biv0P9?wv0L1W,0*55
1751884700515,!AIVDM,1,1,,B,B6Hicb00?H`5?o4dPU;DKwkUoP06,0*12
1751884707254,!AIVDM,1,1,,A,38MDqL10002P>o@BlffGNqoh0Dgb,0*4B
1751884714675,!AIVDM,1,1,,A,39NSh6U0002PGIPBi`M;;2?`0000,0*5D
1751884715928,!AIVDM,1,1,,A,138bQp000<2P?KnBitnmtE2t05qp,0*04
1751884716447,!AIVDM,1,1,,B,1:0Dqg0000RPFsFBj4aRLHCd0<1D,0*48
1751884717991,!AIVDM,1,1,,B,16H=bv0P002P@4TBiv20@wwv05ql,0*10
1751884725243,!AIVDM,1,1,,B,39NScAm0002PAvHBifUm;bt80lT:,0*02
1751884725449,!AIVDM,1,1,,A,1:0Dqg0000RPFsFBj4`SQpB6082W,0*29
1751884728248,!AIVDM,1,1,,A,16H=bv0P002P@48Biv1751643007326,0@q?wv0<1W,0*06
1751884736118,!AIVDM,1,1,,B,1:0Dqg0000RPFsBBj4W58HBJ05qp,0*3B
1751884737771,!AIVDM,1,1,,B,16H=bv0P002P@3vBiv2PlOwv00SC,0*49
1751884744408,!AIVDM,1,1,,B,355fcP12@1RP>0`BlrAHiItd0ln:,0*30
1751884745750,!AIVDM,1,1,,A,1:0Dqg0000RPFsBBj4W54HBf05qp,0*18
1751884751133,!AIVDM,1,1,,A,59NSpWl2:VEWDiHS:20t<D4r0hDLDpB22222221?;HC:45JA0@QAhC6H888888888888880,2*69
1751884754441,!AIVDM,1,1,,B,36H;NF5P@M2P?IJBisvmS9A021th,0*2A
1751884755374,!AIVDM,1,1,,B,1:0Dqg0000RPFsBBj4WlGHC20D1O,0*6A
1751884758497,!AIVDM,1,1,,B,16H=bv0P002P@4HBiuw0FOwv0HEu,0*24
1751884764406,!AIVDM,1,1,,A,36H;NF5P@?RP?JRBiskUcpgD21th,0*2E
1751884765746,!AIVDM,1,1,,A,39NSc0U0002PEapBj=Eujc3F0000,0*68
1751884766882,!AIVDM,1,1,,A,1:0Dqg0000RPFs@Bj4Wl88CH0<1T,0*7D
1751884767713,!AIVDM,1,1,,B,36H;NF5P@8RP?JDBisjnPpaL2110,0*26
1751884770407,!AIVDM,1,1,,A,16H;NF5P@7RP?JFBis1751643049484,jG2pWP2D18,0*36
1751884774659,!AIVDM,1,1,,B,36H;NF5Oh2RP?JFBisjBIpeb21r0,0*45
1751884776424,!AIVDM,1,1,,B,1:0Dqg0000RPFsBBj4WmOHCd08PN,0*29
1751884777768,!AIVDM,1,1,,A,36H;NF5Oh1RP?JFBisj@08mh210P,0*56
1751884777974,!AIVDM,1,1,,B,16H=bv0P002P@4:Biv4@e?wv00Re,0*4A
1751884781097,!AIVDM,1,1,,B,16H;NF5Oh12P?JFBisj@08un2D18,0*35
1751884784623,!AIVDM,1,1,,A,36H;NF5Oh3RP?JFBisjBga:621q0,0*70
1751884788250,!AIVDM,1,1,,A,344iGuQ0012P@=RBm2o4fIr>0JC@,0*3F
1751884790946,!AIVDM,1,1,,B,344iGuQ0012P@=RBm2o3qqrD0DP:,0*09
1751884796200,!AIVDM,1,1,,B,1:0Dqg0000RPFsLBj4`5JpBJ00Rj,0*74
1751884797958,!AIVDM,1,1,,B,16H=bv0P002P@4HBiuw0nwwv0@9v,0*43
1751884799616,!AIVDM,1,1,,B,3815Ad50002PFmpBiQv;u26T0000,0*21
1751884805013,!AIVDM,1,1,,A,39NSW3U0002PAiLBimr71bvh0DUr,0*2B
1751884805739,!AIVDM,1,1,,A,1:0Dqg0000RPFsLBj4`5;`Bf00So,0*3E
1751884807708,!AIVDM,1,1,,B,36H;NF500?RP?LBBisU69b>l20u@,0*67
1751884814242,!AIVDM,1,1,,B,36H;NF500?RP?LTBisNnJ:E0220@,0*79
1751884818485,!AIVDM,1,1,,B,16H=bv0P002P@4dBiv1@`Owv0D1V,0*40
1751884820030,!AIVDM,1,1,,B,B6Hicb00?8`5<9TdRROGcwk5oP06,0*6D
1751884820440,!AIVDM,1,1,,B,3815ONQ1@12P=NlBkm59R9e:0000,0*3B
1751884821686,!AIVDM,1,1,,B,16H;NF500=RP?LbBisG6eJK@2<18,0*48
1751884826028,!AIVDM,1,1,,A,35?dPKm000RPBk8Bim`0mUKH0DRb,0*47
1751884827996,!AIVDM,1,1,,B,36H;NF5P@=RP?LdBisAFg:KL20vh,0*4F
1751884828516,!AIVDM,1,1,,A,16H=bv0P002P@4hBiv1Pigwv05qt,0*6D
1751884829964,!AIVDM,1,1,,A,35Cu`B50002PFJ4Bj4>e82cJ0P00,0*6F
1751884837828,!AIVDM,1,1,,A,3567a:1000RP=e`Bl4Ra>Isd0lqJ,0*6F
1751884840830,!AIVDM,1,1,,B,34d6v65000RPFw8Bie1751643119909,D=1J`00DNb,0*7A
1751884841974,!AIVDM,1,1,,B,54d6v642;FL3Q0Dw:20dh>0E8<UTE>2222222216;AJ::5B<0F1Ap10CH88888888888880,2*6B
1751884858032,!AIVDM,1,1,,B,16H=bv0P002P@3bBiv10uwwv0<1V,0*64
1751884860311,!AIVDM,1,1,,B,16H;NF5009RP?MTBiruVA:NT20Ss,0*48
1751884888460,!AIVDM,1,1,,A,16H=bv0P002P@44Biv1751643167537,2h:?wv00RB,0*11
1751884889912,!AIVDM,1,1,,B,38MDqL10002P>nDBlfVGNqsl0DOb,0*4D
1751884896432,!AIVDM,1,1,,B,1:0Dqg0000RPFt:Bj4cQhpCd00RO,0*4A
1751884897159,!AIVDM,1,1,,B,39NSh6U0002PGIPBi`Jc;2?f0000,0*07
1751884897877,!AIVDM,1,1,,A,B6H;3M@008`5TJTdGToQ1Dt1jDP:,0*05
1751884915468,!AIVDM,1,1,,B,1:0Dqg0000RPFt4Bj4b288BJ0<1K,0*7A
1751884916332,!AIVDM,1,1,,A,33:HI85000RPBa:Bis8itJ<J0Djb,0*06
